Datum;von;bis;Einheit;Deutschland pos;Deutschland neg;50Hertz pos;50Hertz neg;Amprion pos;Amprion neg;TenneT TSO pos;TenneT TSO neg;TransnetBW pos;TransnetBW neg;Molabweichung
2025-05-01;00:00;00:15;MW;12.036;9.848;5.873;0.067;0.119;0.855;3.594;1.998;2.450;6.928;0
2025-05-01;00:15;00:30;MW;10.794;5.474;2.790;0.538;0.029;1.060;4.248;1.888;3.727;1.988;0
2025-05-01;00:30;00:45;MW;46.033;4.167;20.966;1.109;0.368;0.700;5.903;1.895;18.796;0.463;0
2025-05-01;00:45;01:00;MW;3.348;8.624;0.595;1.154;0.011;0.852;0.981;4.094;1.761;2.524;0
2025-05-01;01:00;01:15;MW;17.292;11.887;6.006;0.562;1.265;1.084;9.050;2.814;0.971;7.427;0
2025-05-01;01:15;01:30;MW;32.064;4.031;18.464;0.453;0.909;0.670;9.965;1.358;2.726;1.550;0
2025-05-01;01:30;01:45;MW;7.448;7.449;1.521;1.038;0.140;0.847;5.090;2.186;0.697;3.378;0
2025-05-01;01:45;02:00;MW;3.550;10.181;0.001;2.552;0.338;2.035;0.721;4.037;2.490;1.557;0
2025-05-01;02:00;02:15;MW;4.214;10.125;0.000;2.314;0.167;0.605;0.478;4.547;3.569;2.659;0
2025-05-01;02:15;02:30;MW;4.155;8.595;0.001;2.172;0.360;1.284;0.529;5.137;3.265;0.002;0
2025-05-01;02:30;02:45;MW;3.125;7.204;0.000;1.953;0.041;0.620;0.584;4.464;2.500;0.167;0
2025-05-01;02:45;03:00;MW;3.717;9.799;0.000;2.047;0.003;0.731;0.561;4.345;3.153;2.676;0
2025-05-01;03:00;03:15;MW;4.786;8.951;0.000;2.452;0.554;1.022;0.426;3.408;3.806;2.069;0
2025-05-01;03:15;03:30;MW;1.882;5.566;0.000;1.916;0.091;0.389;0.720;2.247;1.071;1.014;0
2025-05-01;03:30;03:45;MW;0.872;6.950;0.000;1.916;0.012;0.650;0.503;3.326;0.357;1.058;0
2025-05-01;03:45;04:00;MW;2.302;7.026;0.013;1.298;0.401;1.165;1.134;3.705;0.754;0.858;0
2025-05-01;04:00;04:15;MW;1.280;5.860;0.225;0.107;0.116;0.908;0.700;3.697;0.239;1.148;0
2025-05-01;04:15;04:30;MW;2.567;4.905;0.728;0.394;0.030;0.584;0.533;3.234;1.276;0.693;0
2025-05-01;04:30;04:45;MW;2.825;6.636;0.129;0.087;0.429;2.516;0.595;3.213;1.672;0.820;0
2025-05-01;04:45;05:00;MW;1.402;7.039;0.042;0.896;0.005;1.896;0.611;3.163;0.744;1.084;0
2025-05-01;05:00;05:15;MW;4.515;11.479;0.087;0.135;0.188;0.932;0.888;5.786;3.352;4.626;0
2025-05-01;05:15;05:30;MW;3.574;7.934;0.094;0.068;0.293;1.618;0.596;3.347;2.591;2.901;0
2025-05-01;05:30;05:45;MW;1.773;4.810;0.043;0.171;0.143;0.591;0.581;3.491;1.006;0.557;0
2025-05-01;05:45;06:00;MW;1.600;10.801;0.016;3.928;0.632;0.308;0.533;1.775;0.419;4.790;0
2025-05-01;06:00;06:15;MW;12.581;8.980;1.162;0.456;0.869;1.346;2.534;4.532;8.016;2.646;0
2025-05-01;06:15;06:30;MW;2.939;6.665;0.282;0.079;0.102;0.600;0.996;5.134;1.559;0.852;0
2025-05-01;06:30;06:45;MW;3.398;8.730;0.588;0.153;0.111;0.679;1.165;5.097;1.534;2.801;0
2025-05-01;06:45;07:00;MW;4.399;7.241;0.164;0.182;0.586;1.527;1.418;3.573;2.231;1.959;0
2025-05-01;07:00;07:15;MW;4.418;7.723;0.434;0.091;0.407;0.843;1.163;3.477;2.414;3.312;0
2025-05-01;07:15;07:30;MW;2.299;8.155;0.316;2.670;0.046;1.054;1.495;2.319;0.442;2.112;0
2025-05-01;07:30;07:45;MW;3.123;8.736;0.121;4.289;0.570;1.034;1.373;2.100;1.059;1.313;0
2025-05-01;07:45;08:00;MW;7.264;4.476;0.192;0.178;0.314;0.379;4.320;1.880;2.438;2.039;0
2025-05-01;08:00;08:15;MW;6.414;7.946;0.786;0.159;0.646;1.116;2.027;3.142;2.955;3.529;0
2025-05-01;08:15;08:30;MW;2.411;7.353;0.500;1.901;0.323;1.115;1.178;2.413;0.410;1.924;0
2025-05-01;08:30;08:45;MW;8.595;19.549;0.035;6.799;0.227;4.136;2.037;2.440;6.296;6.174;0
2025-05-01;08:45;09:00;MW;4.822;10.055;1.307;4.762;0.212;1.311;1.685;3.259;1.618;0.723;0
2025-05-01;09:00;09:15;MW;6.837;21.619;1.076;2.618;0.313;1.676;0.966;3.948;4.482;13.377;0
2025-05-01;09:15;09:30;MW;5.493;26.960;0.177;6.817;0.527;1.421;1.026;5.046;3.763;13.676;0
2025-05-01;09:30;09:45;MW;3.243;56.200;0.000;12.789;0.000;9.342;0.518;10.071;2.725;23.998;0
2025-05-01;09:45;10:00;MW;3.013;21.759;0.056;8.733;0.002;3.810;1.740;7.965;1.215;1.251;0
2025-05-01;10:00;10:15;MW;32.690;7.137;0.515;0.779;5.026;1.143;20.951;3.782;6.198;1.433;0
2025-05-01;10:15;10:30;MW;3.125;10.177;0.294;2.108;0.186;2.696;1.426;4.108;1.219;1.265;0
2025-05-01;10:30;10:45;MW;2.058;32.382;0.000;11.443;0.003;9.464;1.444;4.206;0.611;7.269;0
2025-05-01;10:45;11:00;MW;3.856;22.598;0.000;14.430;1.760;1.661;1.396;4.748;0.700;1.759;0
2025-05-01;11:00;11:15;MW;1.946;23.801;0.000;15.195;0.062;2.801;1.291;3.484;0.593;2.321;0
2025-05-01;11:15;11:30;MW;3.136;22.653;0.000;4.528;0.079;0.913;1.176;2.530;1.881;14.682;0
2025-05-01;11:30;11:45;MW;3.240;17.822;0.000;10.354;0.447;1.014;1.137;3.403;1.656;3.051;0
2025-05-01;11:45;12:00;MW;3.456;16.922;0.000;5.870;0.001;5.795;1.257;3.159;2.198;2.098;0
2025-05-01;12:00;12:15;MW;4.355;31.363;0.001;2.061;0.001;3.927;1.612;3.196;2.741;22.179;0
2025-05-01;12:15;12:30;MW;8.546;9.655;0.011;1.091;0.084;0.526;1.359;2.051;7.092;5.987;0
2025-05-01;12:30;12:45;MW;3.881;5.548;1.243;0.277;0.180;0.853;1.472;3.406;0.986;1.012;0
2025-05-01;12:45;13:00;MW;1.836;10.527;0.032;1.875;0.315;2.103;1.054;3.334;0.435;3.215;0
2025-05-01;13:00;13:15;MW;3.165;11.748;0.240;1.667;0.007;1.811;2.561;2.940;0.357;5.330;0
2025-05-01;13:15;13:30;MW;1.914;15.739;0.000;1.609;0.092;2.668;1.038;3.357;0.784;8.105;0
2025-05-01;13:30;13:45;MW;2.085;9.495;0.000;1.011;0.085;2.355;1.153;2.773;0.847;3.356;0
2025-05-01;13:45;14:00;MW;1.159;15.220;0.000;3.963;0.012;4.609;0.576;2.929;0.571;3.719;0
2025-05-01;14:00;14:15;MW;2.060;6.820;0.097;0.656;0.088;1.576;0.904;2.852;0.971;1.736;0
2025-05-01;14:15;14:30;MW;6.100;5.544;0.001;0.776;0.386;1.333;0.531;2.580;5.182;0.855;0
2025-05-01;14:30;14:45;MW;6.605;53.789;0.000;6.141;0.024;4.823;0.675;3.769;5.906;39.056;0
2025-05-01;14:45;15:00;MW;4.729;8.967;0.291;0.649;0.016;0.860;1.423;5.187;2.999;2.271;0
2025-05-01;15:00;15:15;MW;4.094;9.088;0.638;0.558;0.252;1.379;2.929;5.062;0.275;2.089;0
2025-05-01;15:15;15:30;MW;1.607;39.308;0.024;4.249;0.169;6.094;0.521;4.199;0.893;24.766;0
2025-05-01;15:30;15:45;MW;1.280;88.614;0.296;8.661;0.003;11.294;0.580;4.494;0.401;64.165;0
2025-05-01;15:45;16:00;MW;1.693;10.023;0.162;4.278;0.299;1.684;0.690;2.793;0.542;1.268;0
2025-05-01;16:00;16:15;MW;4.317;7.421;0.206;1.485;0.023;0.972;3.092;4.510;0.996;0.454;0
2025-05-01;16:15;16:30;MW;4.921;12.354;1.594;2.130;0.265;3.341;1.937;3.474;1.125;3.409;0
2025-05-01;16:30;16:45;MW;16.779;9.110;3.475;1.738;0.597;1.232;3.146;3.175;9.561;2.965;0
2025-05-01;16:45;17:00;MW;15.356;15.622;3.463;1.156;0.667;0.683;4.850;4.377;6.376;9.406;0
2025-05-01;17:00;17:15;MW;13.908;10.819;4.066;1.153;0.008;3.101;6.169;6.107;3.665;0.458;0
2025-05-01;17:15;17:30;MW;51.649;76.756;22.620;1.966;0.121;2.347;9.826;6.207;19.082;66.236;0
2025-05-01;17:30;17:45;MW;258.875;9.280;95.794;0.091;0.503;1.174;29.317;5.477;133.261;2.538;0
2025-05-01;17:45;18:00;MW;101.512;14.676;54.668;0.406;0.180;1.419;17.540;4.121;29.124;8.730;0
2025-05-01;18:00;18:15;MW;13.235;136.895;0.005;1.843;0.660;0.871;2.736;7.838;9.834;126.343;0
2025-05-01;18:15;18:30;MW;20.997;123.207;3.528;1.623;0.098;1.455;5.597;8.439;11.774;111.690;0
2025-05-01;18:30;18:45;MW;38.037;15.456;14.072;1.698;0.180;1.668;7.645;6.876;16.140;5.214;0
2025-05-01;18:45;19:00;MW;13.088;13.377;4.707;0.951;0.370;1.681;2.149;8.052;5.862;2.693;0
2025-05-01;19:00;19:15;MW;6.267;17.538;0.000;3.226;0.002;3.073;1.786;9.897;4.479;1.342;0
2025-05-01;19:15;19:30;MW;6.696;17.566;1.102;2.212;0.014;2.495;2.931;7.633;2.649;5.226;0
2025-05-01;19:30;19:45;MW;58.704;8.896;26.722;0.105;0.350;0.877;20.045;7.406;11.587;0.508;0
2025-05-01;19:45;20:00;MW;35.042;11.342;26.837;0.489;1.671;0.757;4.285;8.653;2.249;1.443;0
2025-05-01;20:00;20:15;MW;21.178;10.017;1.546;0.836;0.699;1.418;15.898;7.368;3.035;0.395;0
2025-05-01;20:15;20:30;MW;2.467;12.617;0.116;1.126;0.000;2.402;2.060;7.746;0.291;1.343;0
2025-05-01;20:30;20:45;MW;47.458;12.101;2.133;0.430;0.007;1.139;18.738;6.989;26.580;3.543;0
2025-05-01;20:45;21:00;MW;171.746;10.231;2.358;0.968;0.010;2.375;19.722;6.021;149.656;0.867;0
2025-05-01;21:00;21:15;MW;65.000;8.723;2.172;0.317;0.629;1.804;15.781;5.964;46.418;0.638;0
2025-05-01;21:15;21:30;MW;13.096;9.256;2.242;2.187;0.504;2.196;8.494;4.797;1.856;0.076;0
2025-05-01;21:30;21:45;MW;2.775;12.659;0.029;5.954;0.045;0.863;0.858;4.608;1.843;1.234;0
2025-05-01;21:45;22:00;MW;10.147;8.468;1.005;0.879;0.105;1.862;6.470;5.539;2.567;0.188;0
2025-05-01;22:00;22:15;MW;6.755;9.774;0.357;1.045;0.351;2.565;3.592;4.489;2.455;1.675;0
2025-05-01;22:15;22:30;MW;4.373;14.385;0.009;5.243;0.062;0.887;1.025;7.184;3.277;1.071;0
2025-05-01;22:30;22:45;MW;5.764;11.035;0.397;3.297;0.314;1.501;0.872;5.766;4.181;0.471;0
2025-05-01;22:45;23:00;MW;2.431;15.350;0.057;3.055;0.182;2.497;1.135;6.286;1.057;3.512;0
2025-05-01;23:00;23:15;MW;2.740;10.279;0.001;1.530;0.051;1.604;0.865;5.301;1.823;1.844;0
2025-05-01;23:15;23:30;MW;3.401;13.962;0.001;6.721;0.472;2.258;1.223;4.326;1.705;0.657;0
2025-05-01;23:30;23:45;MW;6.739;5.697;1.159;0.639;0.465;0.528;1.195;4.530;3.920;0.000;0
2025-05-01;23:45;00:00;MW;10.427;8.030;1.535;0.428;0.239;0.820;4.218;4.862;4.435;1.920;0
