Timeslot,Activated_POS(MW),Activated_NEG(MW),Offered_Capacity_POS(MW),Offered_Capacity_NEG(MW),Mileage_Multiplier_Up,Mileage_Multiplier_Dn
00:00 - 00:15,12.036,9.848,4855,3854,0.002479094,0.002555267
"00:15 - 00:30			",10.794,5.474,4855,3854,0.002223275,0.001420343
00:30 - 00:45,46.033,4.167,4855,3854,0.009481565,0.001081214
00:45 - 01:00,3.348,8.624,4855,3854,0.000689598,0.002237675
01:00 - 01:15,17.292,11.887,4855,3854,0.003561689,0.003084328
01:15 - 01:30,32.064,4.031,4855,3854,0.006604325,0.001045926
01:30 - 01:45,7.448,7.449,4855,3854,0.001534089,0.001932797
01:45 - 02:00,3.55,10.181,4855,3854,0.000731205,0.002641671
02:00 - 02:15,4.214,10.125,4855,3854,0.000867971,0.002627141
02:15 - 02:30,4.155,8.595,4855,3854,0.000855819,0.00223015
02:30 - 02:45,3.125,7.204,4855,3854,0.000643666,0.001869227
"02:45 - 03:00	",3.717,9.799,4855,3854,0.000765602,0.002542553
"03:00 - 03:15				",4.786,8.951,4855,3854,0.000985788,0.002322522
"03:15 - 03:30				",1.882,5.566,4855,3854,0.000387642,0.001444214
"03:30 - 03:45				",0.872,6.95,4855,3854,0.000179609,0.001803321
"03:45 - 04:00				",2.302,7.026,4855,3854,0.00047415,0.001823041
"04:00 - 04:15				",1.28,5.86,4953,3762,0.000258429,0.001557682
"04:15 - 04:30				",2.567,4.905,4953,3762,0.000518272,0.001303828
"04:30 - 04:45				",2.825,6.636,4953,3762,0.000570361,0.001763955
"04:45 - 05:00				",1.402,7.039,4953,3762,0.000283061,0.001871079
"05:00 - 05:15				",4.515,11.479,4953,3762,0.000911569,0.003051302
"05:15 - 05:30			",3.574,7.934,4953,3762,0.000721583,0.002108985
"05:30 - 05:45				",1.773,4.81,4953,3762,0.000357965,0.001278575
"05:45 - 06:00				",1.6,10.801,4953,3762,0.000323037,0.002871079
"06:00 - 06:15				",12.581,8.98,4953,3762,0.002540077,0.002387028
"06:15 - 06:30				",2.939,6.665,4953,3762,0.000593378,0.001771664
"06:30 - 06:45				",3.398,8.73,4953,3762,0.000686049,0.002320574
"06:45 - 07:00			",4.399,7.241,4953,3762,0.000888149,0.001924774
"07:00 - 07:15				",4.418,7.723,4953,3762,0.000891985,0.002052897
"07:15 - 07:30				",2.299,8.155,4953,3762,0.000464163,0.00216773
"07:30 - 07:45				",3.123,8.736,4953,3762,0.000630527,0.002322169
"07:45 - 08:00				",7.264,4.476,4953,3762,0.001466586,0.001189793
"08:00 - 08:15				",6.414,7.946,4481,3771,0.001431377,0.002107133
"08:15 - 08:30				",2.411,7.353,4481,3771,0.00053805,0.001949881
"08:30 - 08:45				",8.595,19.549,4481,3771,0.001918099,0.005184036
"08:45 - 09:00				",4.822,10.055,4481,3771,0.001076099,0.002666401
"09:00 - 09:15				",6.837,21.619,4481,3771,0.001525775,0.005732962
"09:15 - 09:30			",5.493,26.96,4481,3771,0.001225842,0.007149297
"09:30 - 09:45				",3.243,56.2,4481,3771,0.000723722,0.014903209
"09:45 - 10:00				",3.013,21.759,4481,3771,0.000672395,0.005770088
"10:00 - 10:15				",32.69,7.137,4481,3771,0.007295247,0.001892601
"10:15 - 10:30				",3.125,10.177,4481,3771,0.000697389,0.002698754
"10:30 - 10:45			",2.058,32.382,4481,3771,0.000459272,0.008587112
"10:45 - 11:00				",3.856,22.598,4481,3771,0.000860522,0.005992575
"11:00 - 11:15				",1.946,23.801,4481,3771,0.000434278,0.006311588
"11:15 - 11:30			",3.136,22.653,4481,3771,0.000699844,0.00600716
"11:30 - 11:45			",3.24,17.822,4481,3771,0.000723053,0.004726067
"11:45 - 12:00				",3.456,16.922,4481,3771,0.000771256,0.004487404
"12:00 - 12:15			",4.355,31.363,4391,3968,0.000991801,0.007903982
"12:15 - 12:30				",8.546,9.655,4391,3968,0.001946254,0.002433216
"12:30 - 12:45				",3.881,5.548,4391,3968,0.000883853,0.001398185
"12:45 - 13:00			",1.836,10.527,4391,3968,0.000418128,0.002652974
"13:00 - 13:15				",3.165,11.748,4391,3968,0.000720793,0.002960685
"13:15 - 13:30				",1.914,15.739,4391,3968,0.000435892,0.003966482
"13:30 - 13:45				",2.085,9.495,4391,3968,0.000474835,0.002392893
"13:45 - 14:00				",1.159,12.22,4391,3968,0.000263949,0.003079637
"14:00 - 14:15				",2.06,6.82,4391,3968,0.000469141,0.00171875
"14:15 - 14:30				",6.1,5.544,4391,3968,0.001389205,0.001397177
"14:30 - 14:45				",6.605,53.789,4391,3968,0.001504213,0.013555696
"14:45 - 15:00				",4.729,8.967,4391,3968,0.001076976,0.002259829
"15:00 - 15:15				",4.094,9.088,4391,3968,0.000932362,0.002290323
"15:15 - 15:30				",1.607,39.308,4391,3968,0.000365976,0.00990625
"15:30 - 15:45				",1.28,88.614,4391,3968,0.000291505,0.022332157
"15:45 - 16:00				",1.693,10.023,4391,3968,0.000385561,0.002525958
"16:00 - 16:15				",4.317,7.421,4223,3621,0.001022259,0.002049434
"16:15 - 16:30				",4.921,12.354,4223,3621,0.001165285,0.003411765
"16:30 - 16:45				",16.779,9.11,4223,3621,0.003973242,0.00251588
"16:45 - 17:00				",15.356,15.622,4223,3621,0.003636278,0.004314278
"17:00 - 17:15				",13.908,10.819,4223,3621,0.003293393,0.002987849
"17:15 - 17:30				",54.649,76.756,4223,3621,0.0129408,0.021197459
"17:30 - 17:45				",258.875,9.28,4223,3621,0.061301208,0.002562828
"17:45 - 18:00				",101.512,14.676,4223,3621,0.024037888,0.004053024
"18:00 - 18:15				",13.235,136.895,4223,3621,0.003134028,0.037805855
"18:15 - 18:30			",20.997,123.207,4223,3621,0.004972058,0.034025684
"18:30 - 18:45				",38.037,15.456,4223,3621,0.009007104,0.004268434
"18:45 - 19:00				",13.088,13.377,4223,3621,0.003099219,0.003694283
"19:00 - 19:15				",6.267,17.538,4223,3621,0.001484016,0.004843413
"19:15 - 19:30		",6.696,17.566,4223,3621,0.001585603,0.004851146
"19:30 - 19:45				",58.704,8.896,4223,3621,0.013901018,0.00245678
"19:45 - 20:00				",35.042,11.342,4223,3621,0.008297892,0.003132284
"20:00 - 20:15				",21.178,10.017,4478,3621,0.004729343,0.002766363
"20:15 - 20:30				",2.467,12.617,4478,3621,0.000550916,0.003484397
"20:30 - 20:45				",47.458,12.101,4478,4266,0.010598035,0.002836615
"20:45 - 21:00				",171.746,10.231,4478,4266,0.038353283,0.002398265
"21:00 - 21:15				",65,8.723,4478,4266,0.014515409,0.002044773
"21:15 - 21:30				",13.096,9.256,4478,4266,0.00292452,0.002169714
"21:30 - 21:45				",2.775,12.659,4478,4266,0.000619696,0.002967417
"21:45 - 22:00				",10.147,8.468,4478,4266,0.002265967,0.001984998
"22:00 - 22:15				",6.755,9.774,4478,4266,0.001508486,0.002291139
"22:15 - 22:30				",4.373,14.385,4478,4266,0.000976552,0.003372011
"22:30 - 22:45				",5.764,11.035,4478,4266,0.001287182,0.002586732
"22:45 - 23:00				",2.431,15.35,4478,4266,0.000542876,0.003598218
"23:00 - 23:15				",2.74,10.279,4478,4266,0.00061188,0.002409517
"23:15 - 23:30				",3.401,13.962,4478,4266,0.000759491,0.003272855
23:30 - 23:45,6.739,5.697,4478,4266,0.001504913,0.001335443
23:45 - 24:00,10.427,8.03,4478,4266,0.002328495,0.001882325
